"","V1","V2"
"4ET_HUMAN---MK08_HUMAN",-77.1225176081993,-21.8289002601134
"AAPK1_HUMAN---ACACA_HUMAN",-81.6674323794354,8.0465682949912
"AAPK1_HUMAN---IMA1_HUMAN",54.0334928854074,-6.10416897115057
"ABI1_HUMAN---MK01_HUMAN",-72.7587877277896,-43.3671587340808
"ABL1_HUMAN---CRK_HUMAN",-77.1225176081993,-21.8289002601134
"ABL1_HUMAN---CTNB1_HUMAN",-77.1225176081993,-21.8289002601134
"ACLY_HUMAN---HGS_HUMAN",-81.6674323794354,8.0465682949912
"ACTB_HUMAN---E41L2_HUMAN",-77.1225176081993,-21.8289002601134
"ACTB_HUMAN---KHDR1_HUMAN",-77.1225176081993,-21.8289002601134
"ADDA_HUMAN---ROCK1_HUMAN",-77.1225176081993,-21.8289002601134
"ADNP_HUMAN---PLCG1_HUMAN",-77.1225176081993,-21.8289002601134
"AFAD_HUMAN---DREB_HUMAN",-72.7587877277896,-43.3671587340808
"AFTIN_HUMAN---GGA3_HUMAN",-81.6674323794354,8.0465682949912
"AMOT_HUMAN---FOXK1_HUMAN",-81.6674323794354,8.0465682949912
"AMOT_HUMAN---RHG17_HUMAN",-81.6674323794354,8.0465682949912
"APC_HUMAN---CYTSA_HUMAN",-77.1225176081993,-21.8289002601134
"A4_HUMAN---AR6P6_HUMAN",-77.1225176081993,-21.8289002601134
"ARHG7_HUMAN---SCRIB_HUMAN",-77.1225176081993,-21.8289002601134
"ARHGB_HUMAN---GSK3A_HUMAN",-77.1225176081993,-21.8289002601134
"ARI2_HUMAN---EMAL4_HUMAN",-77.1225176081993,-21.8289002601134
"ARI2_HUMAN---P53_HUMAN",-77.1225176081993,-21.8289002601134
"AT2B1_HUMAN---LAP2_HUMAN",-77.1225176081993,-21.8289002601134
"B2RBV7_HUMAN---OTUL_HUMAN",-81.6674323794354,8.0465682949912
"B2RBV7_HUMAN---VPRBP_HUMAN",-81.6674323794354,8.0465682949912
"BACH_HUMAN---CDK2_HUMAN",-81.6674323794354,8.0465682949912
"BACH_HUMAN---NHLC2_HUMAN",-81.6674323794354,8.0465682949912
"BAG6_HUMAN---SGTA_HUMAN",-81.6674323794354,8.0465682949912
"BAP18_HUMAN---CDK2_HUMAN",-77.1225176081993,-21.8289002601134
"BAZ2A_HUMAN---HDAC1_HUMAN",-77.1225176081993,-21.8289002601134
"ACK1_HUMAN---BCAR1_HUMAN",-77.1225176081993,-21.8289002601134
"BCAR1_HUMAN---ZYX_HUMAN",-77.1225176081993,-21.8289002601134
"BCLF1_HUMAN---SRRM1_HUMAN",-77.1225176081993,-21.8289002601134
"BCS1_HUMAN---DDX24_HUMAN",-81.6674323794354,8.0465682949912
"BMS1_HUMAN---HDGF_HUMAN",-81.6674323794354,8.0465682949912
"B2R4R0_HUMAN---BRD2_HUMAN",-81.6674323794354,8.0465682949912
"CA052_HUMAN---NFKB1_HUMAN",-81.6674323794354,8.0465682949912
"1433T_HUMAN---CBL_HUMAN",-77.1225176081993,-21.8289002601134
"CBL_HUMAN---CD2AP_HUMAN",-77.1225176081993,-21.8289002601134
"CBL_HUMAN---CRKL_HUMAN",-72.7587877277896,-43.3671587340808
"CBL_HUMAN---EGFR_HUMAN",-72.7587877277896,-43.3671587340808
"CBL_HUMAN---EPHA2_HUMAN",-77.1225176081993,-21.8289002601134
"CBL_HUMAN---FYN_HUMAN",-72.7587877277896,-43.3671587340808
"CBL_HUMAN---ITSN1_HUMAN",-77.1225176081993,-21.8289002601134
"CBL_HUMAN---PLCG1_HUMAN",-72.7587877277896,-43.3671587340808
"CBL_HUMAN---SHIP2_HUMAN",-72.7587877277896,-43.3671587340808
"CBL_HUMAN---SPY1_HUMAN",-77.1225176081993,-21.8289002601134
"ACAP2_HUMAN---CBX1_HUMAN",-81.6674323794354,8.0465682949912
"CCD25_HUMAN---SMAD2_HUMAN",-81.6674323794354,8.0465682949912
"AURKB_HUMAN---CCD86_HUMAN",-81.6674323794354,8.0465682949912
"CD2B2_HUMAN---KHDR1_HUMAN",58.5784076566435,-35.9796375262552
"CD2B2_HUMAN---SF01_HUMAN",-77.1225176081993,-21.8289002601134
"CD2B2_HUMAN---SNUT2_HUMAN",-77.1225176081993,-21.8289002601134
"CDCA3_HUMAN---CUL1_HUMAN",-81.6674323794354,8.0465682949912
"BAG6_HUMAN---CDK16_HUMAN",-81.6674323794354,8.0465682949912
"CDK16_HUMAN---KAPCA_HUMAN",-81.6674323794354,8.0465682949912
"41_HUMAN---CDK1_HUMAN",-77.1225176081993,-21.8289002601134
"AHNK_HUMAN---CDK1_HUMAN",-81.6674323794354,8.0465682949912
"APC1_HUMAN---CDK1_HUMAN",-81.6674323794354,8.0465682949912
"BUD13_HUMAN---CDK1_HUMAN",-81.6674323794354,8.0465682949912
