"","V1","V2"
"4ET_HUMAN---MK08_HUMAN",-94.4586763094565,-26.3265235746515
"AAPK1_HUMAN---ACACA_HUMAN",-99.8768614459673,9.58666198624397
"AAPK1_HUMAN---IMA1_HUMAN",67.6658996992695,-7.58295850347717
"ABI1_HUMAN---MK01_HUMAN",-89.7882195645688,-52.4163078772701
"ABL1_HUMAN---CRK_HUMAN",-94.4586763094565,-26.3265235746515
"ABL1_HUMAN---CTNB1_HUMAN",-94.4586763094565,-26.3265235746515
"ACLY_HUMAN---HGS_HUMAN",-99.8768614459673,9.58666198624397
"ACTB_HUMAN---E41L2_HUMAN",-94.4586763094565,-26.3265235746515
"ACTB_HUMAN---KHDR1_HUMAN",-94.4586763094565,-26.3265235746515
"ADDA_HUMAN---ROCK1_HUMAN",-94.4586763094565,-26.3265235746515
"ADNP_HUMAN---PLCG1_HUMAN",-94.4586763094565,-26.3265235746515
"AFAD_HUMAN---DREB_HUMAN",-89.7882195645688,-52.4163078772701
"AFTIN_HUMAN---GGA3_HUMAN",-99.8768614459673,9.58666198624397
"AMOT_HUMAN---FOXK1_HUMAN",-99.8768614459673,9.58666198624397
"AMOT_HUMAN---RHG17_HUMAN",-99.8768614459673,9.58666198624397
"APC_HUMAN---CYTSA_HUMAN",-94.4586763094565,-26.3265235746515
"A4_HUMAN---AR6P6_HUMAN",-94.4586763094565,-26.3265235746515
"ARHG7_HUMAN---SCRIB_HUMAN",-94.4586763094565,-26.3265235746515
"ARHGB_HUMAN---GSK3A_HUMAN",-94.4586763094565,-26.3265235746515
"ARI2_HUMAN---EMAL4_HUMAN",-94.4586763094565,-26.3265235746515
"ARI2_HUMAN---P53_HUMAN",-94.4586763094565,-26.3265235746515
"AT2B1_HUMAN---LAP2_HUMAN",-94.4586763094565,-26.3265235746515
"B2RBV7_HUMAN---OTUL_HUMAN",-99.8768614459673,9.58666198624397
"B2RBV7_HUMAN---VPRBP_HUMAN",-99.8768614459673,9.58666198624397
"BACH_HUMAN---CDK2_HUMAN",-99.8768614459673,9.58666198624397
"BACH_HUMAN---NHLC2_HUMAN",-99.8768614459673,9.58666198624397
"BAG6_HUMAN---SGTA_HUMAN",-99.8768614459673,9.58666198624397
"BAP18_HUMAN---CDK2_HUMAN",-94.4586763094565,-26.3265235746515
