"","V1","V2","V3","V4","V5"
"1433G_HUMAN---3BP5L_HUMAN",-19.1006542632264,6.57683462423726,-5.8639101193884,-3.61833779519262,-3.69462770304717
"1433G_HUMAN---AFAD_HUMAN",-19.6392829228406,-6.97804650565936,6.54179170629287,1.21201205955302,-0.673348871563807
"1433G_HUMAN---ANS1A_HUMAN",-19.6392829228406,-6.97804650565936,6.54179170629287,1.21201205955302,-0.673348871563807
"1433G_HUMAN---BCLF1_HUMAN",-19.6392829228406,-6.97804650565936,6.54179170629287,1.21201205955302,-0.673348871563807
"1433G_HUMAN---CDK16_HUMAN",-20.9399155470582,-1.99123638876615,-3.85893992129228,2.96576923941638,1.07845161845121
"1433G_HUMAN---CLAP1_HUMAN",-19.6392829228406,-6.97804650565936,6.54179170629287,1.21201205955302,-0.673348871563807
"1433G_HUMAN---CRTC2_HUMAN",-20.9399155470582,-1.99123638876615,-3.85893992129228,2.96576923941638,1.07845161845121
"1433G_HUMAN---DYR1A_HUMAN",-20.9399155470582,-1.99123638876615,-3.85893992129228,2.96576923941638,1.07845161845121
"1433G_HUMAN---E41L2_HUMAN",-19.6392829228406,-6.97804650565936,6.54179170629287,1.21201205955302,-0.673348871563807
"1433G_HUMAN---EDC3_HUMAN",-20.9399155470582,-1.99123638876615,-3.85893992129228,2.96576923941638,1.07845161845121
"1433G_HUMAN---FA53C_HUMAN",-19.6392829228406,-6.97804650565936,6.54179170629287,1.21201205955302,-0.673348871563807
"1433G_HUMAN---GSK3A_HUMAN",-20.9399155470582,-1.99123638876615,-3.85893992129228,2.96576923941638,1.07845161845121
"1433G_HUMAN---HDAC4_HUMAN",-15.123977943947,12.5819483253593,-1.98668297346393,-5.99433375385386,4.19686111842978
"1433G_HUMAN---LARP1_HUMAN",6.11853057901075,-19.1907774804199,-3.35587106231319,-4.47960005026134,-2.38157739722594
"1433G_HUMAN---LSR_HUMAN",-19.6392829228406,-6.97804650565936,6.54179170629287,1.21201205955302,-0.673348871563807
"1433G_HUMAN---MARK2_HUMAN",-19.6392829228406,-6.97804650565936,6.54179170629287,1.21201205955302,-0.673348871563807
"1433G_HUMAN---MFAP1_HUMAN",-20.9399155470582,-1.99123638876615,-3.85893992129228,2.96576923941638,1.07845161845121
