"","V1","V2","V3","V4","V5"
"1433B_HUMAN---LSR_HUMAN",22.9518794737286,15.6251565648535,-8.4905138991682,1.40512121100634,-0.0568545439056176
"1433G_HUMAN---CLAP1_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"1433G_HUMAN---HDAC4_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"41_HUMAN---CDK1_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"4ET_HUMAN---MK08_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"ABCF1_HUMAN---CSK21_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"ABI2_HUMAN---PCM1_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"ABLM1_HUMAN---T22D4_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"ACTB_HUMAN---KHDR1_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"ADDA_HUMAN---ROCK1_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"ADNP_HUMAN---PLCG1_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"AFAD_HUMAN---DREB_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"AFAD_HUMAN---EPHA7_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"AFAD_HUMAN---ZO1_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"AHNK_HUMAN---CDK1_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"AKA11_HUMAN---KAP2_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"AMOT_HUMAN---RHG17_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"ANXA2_HUMAN---TNIK_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"APC1_HUMAN---CDK1_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"APC_HUMAN---CTNB1_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"A4_HUMAN---AR6P6_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"ARHGB_HUMAN---GSK3A_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"ARI2_HUMAN---EMAL4_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"ARI2_HUMAN---P53_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"AT2B1_HUMAN---LAP2_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"AZI1_HUMAN---PCM1_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"B2R4R0_HUMAN---BRD2_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"B2R4R0_HUMAN---TP53B_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"B2RBV7_HUMAN---OTUL_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"BACH_HUMAN---CDK2_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"BACH_HUMAN---NHLC2_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"BAD_HUMAN---KS6A1_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
"BAP18_HUMAN---CDK2_HUMAN",-28.006629348733,7.29528404314456,-2.65122679775994,-0.508911562267849,-0.344616691072761
