"","V1","V2"
"1433G_HUMAN---AFAD_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---ANS1A_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---ARHG7_HUMAN",-42.6757216554226,29.5847862503965
"1433G_HUMAN---BCLF1_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---CDK16_HUMAN",-58.8228695068298,-10.0260806742297
"1433G_HUMAN---CLAP1_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---CRTC2_HUMAN",-58.4705848448482,-6.13495321082835
"1433G_HUMAN---DYR1A_HUMAN",-58.4705848448482,-6.13495321082835
"1433G_HUMAN---E41L2_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---EDC3_HUMAN",-58.8228695068298,-10.0260806742297
"1433G_HUMAN---FA53C_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---GSK3A_HUMAN",-58.8228695068298,-10.0260806742297
"1433G_HUMAN---KLC4_HUMAN",58.294295798342,2.06002877800413
"1433G_HUMAN---LARP1_HUMAN",22.5259681304701,-56.6371254181912
"1433G_HUMAN---LSR_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---MARK2_HUMAN",-58.6854322409112,-8.49239674988035
"1433G_HUMAN---MFAP1_HUMAN",-58.7346328249686,-7.19591548592025
"1433G_HUMAN---PANK2_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---PPIG_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---PRP4B_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---SMAG2_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---SON_HUMAN",-58.8228695068298,-10.0260806742297
"1433G_HUMAN---SRRM2_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---TR150_HUMAN",-58.8228695068298,-10.0260806742297
"1433G_HUMAN---TRA2A_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---UBP8_HUMAN",-58.7346328249686,-7.19591548592025
"1433G_HUMAN---ZCH18_HUMAN",22.5259681304701,-56.6371254181912
"1433G_HUMAN---ZN638_HUMAN",-58.7736689227724,-11.3225619381898
"1433G_HUMAN---ZO2_HUMAN",-58.7736689227724,-11.3225619381898
"4ET_HUMAN---ATX1_HUMAN",-58.5588215267094,-8.96511839913783
"AAPK2_HUMAN-->ACACA_HUMAN",-58.8228695068298,-10.0260806742297
"AAPK2_HUMAN---AMOT_HUMAN",-58.8228695068298,-10.0260806742297
"AAPK2_HUMAN---C170B_HUMAN",-58.8228695068298,-10.0260806742297
"AAPK2_HUMAN---KKCC1_HUMAN",57.2091900001203,-10.2841316612575
"ABCA1_HUMAN---ARHGB_HUMAN",58.294295798342,2.06002877800413
"ABCA1_HUMAN---DLG3_HUMAN",58.294295798342,2.06002877800413
"ABCA1_HUMAN---LAP2_HUMAN",58.6465804603236,5.9511562414055
"ABCA1_HUMAN---SNTB1_HUMAN",58.294295798342,2.06002877800413
"ABI2_HUMAN---CCD53_HUMAN",54.2525362642127,-10.5662038033213
"ABI2_HUMAN---VINC_HUMAN",40.1061521399104,-28.430404216044
"ABLM1_HUMAN---T22D4_HUMAN",-58.7736689227724,-11.3225619381898
"ACAP2_HUMAN---LMNB1_HUMAN",46.5934907427358,-34.5245450742481
"ACINU_HUMAN---PHS_HUMAN",54.4803016500001,-15.4827548918748
"ACK1_HUMAN---BCAR1_HUMAN",57.1846201432583,-3.1591288250624
"ACLY_HUMAN---HGS_HUMAN",-58.7346328249686,-7.19591548592025
"ACTB_HUMAN---MIPT3_HUMAN",-58.7736689227724,-11.3225619381898
"ACTB_HUMAN---PRSR2_HUMAN",-58.4705848448482,-6.13495321082835
"ACTB_HUMAN---SUMO2_HUMAN",58.6075443625198,1.82450978913592
"ACTB_HUMAN---SVIL_HUMAN",37.9113706866049,-45.9937222583722
"ADNP_HUMAN---SUMO2_HUMAN",-58.7736689227724,-11.3225619381898
"ADT1_HUMAN---B2L13_HUMAN",-58.7346328249686,-7.19591548592025
"AFAD_HUMAN---DREB_HUMAN",-58.7736689227724,-11.3225619381898
"AFAD_HUMAN---ZO1_HUMAN",-58.7736689227724,-11.3225619381898
"AFTIN_HUMAN---GGA3_HUMAN",-58.8228695068298,-10.0260806742297
"AHNK_HUMAN---SUMO2_HUMAN",-58.8228695068298,-10.0260806742297
"AKA10_HUMAN---KAP2_HUMAN",58.294295798342,2.06002877800413
"AKA11_HUMAN---KAP2_HUMAN",-58.7736689227724,-11.3225619381898
"AKA12_HUMAN---EGFR_HUMAN",30.3131490320646,-37.7918080808851
"AKA12_HUMAN---KAP2_HUMAN",-58.7736689227724,-11.3225619381898
"AKAP1_HUMAN---KAP2_HUMAN",-58.7736689227724,-11.3225619381898
"AKAP2_HUMAN---KAP2_HUMAN",-58.7736689227724,-11.3225619381898
"AKT1_HUMAN-->1433Z_HUMAN",-58.8228695068298,-10.0260806742297
"AKT1_HUMAN-->ATX1_HUMAN",-58.5588215267094,-8.96511839913783
"AKT1_HUMAN-->HJURP_HUMAN",-58.8228695068298,-10.0260806742297
"AKT1_HUMAN-->PALLD_HUMAN",-58.8228695068298,-10.0260806742297
"AKT1_HUMAN-->PDCD4_HUMAN",-58.8228695068298,-10.0260806742297
"AKT1_HUMAN-->RANB3_HUMAN",-58.8228695068298,-10.0260806742297
"AKT1_HUMAN-->SRPK2_HUMAN",-58.8228695068298,-10.0260806742297
"AKT1_HUMAN-->TBCD1_HUMAN",-58.4705848448482,-6.13495321082835
"AKT1_HUMAN-->TBCD4_HUMAN",-58.7346328249686,-7.19591548592025
"AKT1_HUMAN-->WNK1_HUMAN",-58.8228695068298,-10.0260806742297
"AKT1_HUMAN-->YAP1_HUMAN",-58.8228695068298,-10.0260806742297
"AKT1_HUMAN-->ZYX_HUMAN",-58.8228695068298,-10.0260806742297
"AMOT_HUMAN---FOXK1_HUMAN",-58.7346328249686,-7.19591548592025
"AMOT_HUMAN---MPP5_HUMAN",-58.4705848448482,-6.13495321082835
"AMOT_HUMAN---RHG17_HUMAN",-58.4705848448482,-6.13495321082835
"ANXA2_HUMAN---TRM7_HUMAN",-58.7346328249686,-7.19591548592025
"AP3D1_HUMAN---HTSF1_HUMAN",56.0995143450366,-15.503289264324
"AR6P4_HUMAN---ARL6_HUMAN",-58.7736689227724,-11.3225619381898
"AR6P4_HUMAN---SRPK2_HUMAN",-58.8228695068298,-10.0260806742297
"AR6P6_HUMAN---ARL6_HUMAN",-58.7736689227724,-11.3225619381898
"ARHG5_HUMAN---CRKL_HUMAN",-58.7736689227724,-11.3225619381898
"ARHG7_HUMAN---GIT1_HUMAN",-58.8228695068298,-10.0260806742297
"ARHG7_HUMAN---SCRIB_HUMAN",-58.7736689227724,-11.3225619381898
"ARIP4_HUMAN---SUMO2_HUMAN",-58.4705848448482,-6.13495321082835
"ARP8_HUMAN---TFPT_HUMAN",-58.7346328249686,-7.19591548592025
"AT133_HUMAN---MD2L1_HUMAN",-58.4705848448482,-6.13495321082835
"AT1A1_HUMAN---MK01_HUMAN",22.5259681304701,-56.6371254181912
"AT2B1_HUMAN---CSK21_HUMAN",-58.7736689227724,-11.3225619381898
"ATM_HUMAN-->DYRK2_HUMAN",57.2091900001203,-10.2841316612575
"ATM_HUMAN-->FACD2_HUMAN",-58.8228695068298,-10.0260806742297
"ATM_HUMAN-->HUWE1_HUMAN",-58.8228695068298,-10.0260806742297
"ATM_HUMAN-->MED1_HUMAN",58.5583437784624,3.12099105309602
"ATM_HUMAN-->SMC3_HUMAN",-58.8228695068298,-10.0260806742297
"ATM_HUMAN-->TAOK1_HUMAN",-58.8228695068298,-10.0260806742297
"ATM_HUMAN-->TOPB1_HUMAN",-58.7346328249686,-7.19591548592025
"ATM_HUMAN-->TP53B_HUMAN",-45.8146420903615,-37.1500100882965
"ATM_HUMAN-->ZN148_HUMAN",-58.8228695068298,-10.0260806742297
"ATRX_HUMAN---EZH2_HUMAN",58.6465804603236,5.9511562414055
"ATX1_HUMAN---BACH_HUMAN",-58.5588215267094,-8.96511839913783
"ATX1_HUMAN---CCNK_HUMAN",-58.5588215267094,-8.96511839913783
"ATX1_HUMAN---CLASR_HUMAN",-58.4705848448482,-6.13495321082835
"ATX1_HUMAN---CPSF7_HUMAN",-58.5588215267094,-8.96511839913783
"ATX1_HUMAN---PUM1_HUMAN",-58.5588215267094,-8.96511839913783
"ATX1_HUMAN---UNK_HUMAN",-58.5588215267094,-8.96511839913783
"ATX1_HUMAN---ZN609_HUMAN",22.4767675464127,-55.3406441542311
"ATX2L_HUMAN---SUMO2_HUMAN",-58.7736689227724,-11.3225619381898
"AURKB_HUMAN-->CCD86_HUMAN",-58.7346328249686,-7.19591548592025
"AURKB_HUMAN-->DDA1_HUMAN",46.681727424597,-31.6943798859386
"AURKB_HUMAN-->KI67_HUMAN",-58.7346328249686,-7.19591548592025
"AURKB_HUMAN-->LMO7_HUMAN",-58.7346328249686,-7.19591548592025
"AURKB_HUMAN-->MBB1A_HUMAN",-58.7346328249686,-7.19591548592025
"AURKB_HUMAN-->NELFE_HUMAN",-58.7346328249686,-7.19591548592025
"AURKB_HUMAN-->NSUN2_HUMAN",-58.7346328249686,-7.19591548592025
"AURKB_HUMAN-->PARD3_HUMAN",-58.7346328249686,-7.19591548592025
"AURKB_HUMAN-->PPHLN_HUMAN",-58.7346328249686,-7.19591548592025
"AURKB_HUMAN---SUMO2_HUMAN",33.76173668999,-1.74028528356241
"AZI1_HUMAN---PCM1_HUMAN",-58.8228695068298,-10.0260806742297
"B2R9N9_HUMAN---GRM1A_HUMAN",-58.4705848448482,-6.13495321082835
"B2R9N9_HUMAN---MYD88_HUMAN",-58.4705848448482,-6.13495321082835
"BACH2_HUMAN---JUN_HUMAN",-58.4705848448482,-6.13495321082835
"BACH_HUMAN---NHLC2_HUMAN",-58.8228695068298,-10.0260806742297
"BAP18_HUMAN---WDR82_HUMAN",22.4767675464127,-55.3406441542311
"BAZ1B_HUMAN---SUMO2_HUMAN",-58.7346328249686,-7.19591548592025
"BAZ2A_HUMAN---SUMO2_HUMAN",22.5259681304701,-56.6371254181912
"BCAR1_HUMAN---CRKL_HUMAN",-58.509620942652,-10.2615996630979
"BCOR_HUMAN---KDM2B_HUMAN",-58.8228695068298,-10.0260806742297
"BCOR_HUMAN---SUMO2_HUMAN",-58.5588215267094,-8.96511839913783
"BCS1_HUMAN---DDX24_HUMAN",-58.7346328249686,-7.19591548592025
"BIG3_HUMAN---EGFR_HUMAN",57.2091900001203,-10.2841316612575
"BMS1_HUMAN---SUMO2_HUMAN",-58.7736689227724,-11.3225619381898
