"","V1","V2","V3","V4","V5"
"1433G_HUMAN---AFAD_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---ANS1A_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---ARHG7_HUMAN",-11.8311972189409,11.0584106080613,-18.6037794470674,7.41044072481181,1.21367769540937
"1433G_HUMAN---BCLF1_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---CDK16_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"1433G_HUMAN---CLAP1_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---CRTC2_HUMAN",-27.4013817386671,1.67927467687042,7.21496030355016,6.18888212695796,-1.97843233893806
"1433G_HUMAN---DYR1A_HUMAN",-27.4013817386671,1.67927467687042,7.21496030355016,6.18888212695796,-1.97843233893806
"1433G_HUMAN---E41L2_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---EDC3_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"1433G_HUMAN---FA53C_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---GSK3A_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"1433G_HUMAN---KLC4_HUMAN",26.1156923212928,-3.99915705900077,-7.56076158342498,3.11357972762458,5.05747909699535
"1433G_HUMAN---LARP1_HUMAN",3.1472636509982,-23.6665769722605,13.4866249403587,-6.81322601736043,-3.17331835078741
"1433G_HUMAN---LSR_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---MARK2_HUMAN",-27.6055145281013,-3.58149954628969,-2.17637922425844,1.21374606013867,-0.394376974083062
"1433G_HUMAN---MFAP1_HUMAN",-27.9569807618373,-1.14278443177199,1.13357507569818,7.60900248364053,3.15000222928147
"1433G_HUMAN---PANK2_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---PPIG_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---PRP4B_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---SMAG2_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---SON_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"1433G_HUMAN---SRRM2_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---TR150_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"1433G_HUMAN---TRA2A_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---UBP8_HUMAN",-27.9569807618373,-1.14278443177199,1.13357507569818,7.60900248364053,3.15000222928147
"1433G_HUMAN---ZCH18_HUMAN",3.1472636509982,-23.6665769722605,13.4866249403587,-6.81322601736043,-3.17331835078741
"1433G_HUMAN---ZN638_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"1433G_HUMAN---ZO2_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"4ET_HUMAN---ATX1_HUMAN",-27.5107808284385,-2.92868542550294,2.63386682781807,2.92928841041571,-3.33509224453932
"AAPK2_HUMAN-->ACACA_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AAPK2_HUMAN---AMOT_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AAPK2_HUMAN---C170B_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AAPK2_HUMAN---KKCC1_HUMAN",24.6298655699642,-7.98498868805777,-7.06810598958411,7.37829203618805,6.8344244167761
"ABCA1_HUMAN---ARHGB_HUMAN",26.1156923212928,-3.99915705900077,-7.56076158342498,3.11357972762458,5.05747909699535
"ABCA1_HUMAN---DLG3_HUMAN",26.1156923212928,-3.99915705900077,-7.56076158342498,3.11357972762458,5.05747909699535
"ABCA1_HUMAN---LAP2_HUMAN",26.7806904342344,3.43086215201501,3.10171712015907,4.95305308748426,1.28570443437707
"ABCA1_HUMAN---SNTB1_HUMAN",26.1156923212928,-3.99915705900077,-7.56076158342498,3.11357972762458,5.05747909699535
"ABI2_HUMAN---CCD53_HUMAN",21.4332206912593,-8.39287931276513,-5.17266908986727,5.87704221962483,-9.92613394617042
"ABI2_HUMAN---VINC_HUMAN",8.62888373376255,-17.6112740712803,8.13866980218422,-6.18591068370774,5.21532983980707
"ABLM1_HUMAN---T22D4_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"ACAP2_HUMAN---LMNB1_HUMAN",12.9045062234986,-21.0934548706756,5.20856305472616,11.2861052907656,-0.347691174075102
"ACINU_HUMAN---PHS_HUMAN",21.0158506426384,-6.14685479223881,7.21884731543517,15.8374655300426,-0.909558186953454
"ACK1_HUMAN---BCAR1_HUMAN",24.5550369541006,-8.94138910589383,-9.53767164354006,1.73661161588505,-0.920040991570161
"ACLY_HUMAN---HGS_HUMAN",-27.9569807618373,-1.14278443177199,1.13357507569818,7.60900248364053,3.15000222928147
"ACTB_HUMAN---MIPT3_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"ACTB_HUMAN---PRSR2_HUMAN",-27.4013817386671,1.67927467687042,7.21496030355016,6.18888212695796,-1.97843233893806
"ACTB_HUMAN---SUMO2_HUMAN",27.022757578199,-3.61581306487605,-4.78933065552963,-4.70179705255985,-3.61533467458873
"ACTB_HUMAN---SVIL_HUMAN",5.58240161524182,-26.5393377472304,6.65441533591003,-3.29816648688379,1.01475507102231
"ADNP_HUMAN---SUMO2_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"ADT1_HUMAN---B2L13_HUMAN",-27.9569807618373,-1.14278443177199,1.13357507569818,7.60900248364053,3.15000222928147
"AFAD_HUMAN---DREB_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"AFAD_HUMAN---ZO1_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"AFTIN_HUMAN---GGA3_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AHNK_HUMAN---SUMO2_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AKA10_HUMAN---KAP2_HUMAN",26.1156923212928,-3.99915705900077,-7.56076158342498,3.11357972762458,5.05747909699535
"AKA11_HUMAN---KAP2_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"AKA12_HUMAN---EGFR_HUMAN",11.8744589791975,-15.5742052880724,-1.98086051614168,-11.3426388173764,9.34819668518212
"AKA12_HUMAN---KAP2_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"AKAP1_HUMAN---KAP2_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"AKAP2_HUMAN---KAP2_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"AKT1_HUMAN-->1433Z_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AKT1_HUMAN-->ATX1_HUMAN",-27.5107808284385,-2.92868542550294,2.63386682781807,2.92928841041571,-3.33509224453932
"AKT1_HUMAN-->HJURP_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AKT1_HUMAN-->PALLD_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AKT1_HUMAN-->PDCD4_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AKT1_HUMAN-->RANB3_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AKT1_HUMAN-->SRPK2_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AKT1_HUMAN-->TBCD1_HUMAN",-27.4013817386671,1.67927467687042,7.21496030355016,6.18888212695796,-1.97843233893806
"AKT1_HUMAN-->TBCD4_HUMAN",-27.9569807618373,-1.14278443177199,1.13357507569818,7.60900248364053,3.15000222928147
"AKT1_HUMAN-->WNK1_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AKT1_HUMAN-->YAP1_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AKT1_HUMAN-->ZYX_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AMOT_HUMAN---FOXK1_HUMAN",-27.9569807618373,-1.14278443177199,1.13357507569818,7.60900248364053,3.15000222928147
"AMOT_HUMAN---MPP5_HUMAN",-27.4013817386671,1.67927467687042,7.21496030355016,6.18888212695796,-1.97843233893806
"AMOT_HUMAN---RHG17_HUMAN",-27.4013817386671,1.67927467687042,7.21496030355016,6.18888212695796,-1.97843233893806
"ANXA2_HUMAN---TRM7_HUMAN",-27.9569807618373,-1.14278443177199,1.13357507569818,7.60900248364053,3.15000222928147
"AP3D1_HUMAN---HTSF1_HUMAN",23.0692102027721,-12.9272207349508,-9.04501604969918,6.00132392444852,0.856904328210589
"AR6P4_HUMAN---ARL6_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"AR6P4_HUMAN---SRPK2_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
"AR6P6_HUMAN---ARL6_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"ARHG5_HUMAN---CRKL_HUMAN",-27.7149136178727,-8.18945964866305,-6.75747269999052,-2.04584765640358,-1.75103687968432
"ARHG7_HUMAN---GIT1_HUMAN",-28.0663798516087,-5.75074453414535,-3.4475184000339,4.34940876709828,1.79334232368022
