"","V1","V2","V3","V4"
"1433G_HUMAN---AFAD_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---ANS1A_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---ARHG7_HUMAN",-12.1338033123396,9.98398521129351,-17.2839727937542,6.59942775955675
"1433G_HUMAN---BCLF1_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---CDK16_HUMAN",-27.9614565756581,-5.78063846187998,-2.54866548997753,4.7424484430986
"1433G_HUMAN---CLAP1_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---CRTC2_HUMAN",-27.4205481145056,1.50492788653323,7.58260435668063,5.79341384590044
"1433G_HUMAN---DYR1A_HUMAN",-27.4205481145056,1.50492788653323,7.58260435668063,5.79341384590044
"1433G_HUMAN---E41L2_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---EDC3_HUMAN",-27.9614565756581,-5.78063846187998,-2.54866548997753,4.7424484430986
"1433G_HUMAN---FA53C_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---GSK3A_HUMAN",-27.9614565756581,-5.78063846187998,-2.54866548997753,4.7424484430986
"1433G_HUMAN---KLC4_HUMAN",26.0377382312012,-4.04653221534991,-6.27576508493578,3.0569148653967
"1433G_HUMAN---LARP1_HUMAN",3.68428637788849,-22.4333449782254,13.6759000732302,-6.03829988963799
"1433G_HUMAN---LSR_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---MARK2_HUMAN",-27.4858740465262,-3.88919333982378,-2.80392283003805,1.08356967535441
"1433G_HUMAN---MFAP1_HUMAN",-27.9232305995178,-1.58050972379113,1.61321463736714,7.23200082325846
"1433G_HUMAN---PANK2_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---PPIG_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---PRP4B_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---SMAG2_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---SON_HUMAN",-27.9614565756581,-5.78063846187998,-2.54866548997753,4.7424484430986
"1433G_HUMAN---SRRM2_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---TR150_HUMAN",-27.9614565756581,-5.78063846187998,-2.54866548997753,4.7424484430986
"1433G_HUMAN---TRA2A_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---UBP8_HUMAN",-27.9232305995178,-1.58050972379113,1.61321463736714,7.23200082325846
"1433G_HUMAN---ZCH18_HUMAN",3.68428637788849,-22.4333449782254,13.6759000732302,-6.03829988963799
"1433G_HUMAN---ZN638_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"1433G_HUMAN---ZO2_HUMAN",-27.5241000226665,-8.08932207791263,-6.96580295738272,-1.40598270480545
"4ET_HUMAN---ATX1_HUMAN",-27.4587740906459,-2.69520085155563,3.42072422933596,3.30386146574059
"AAPK2_HUMAN-->ACACA_HUMAN",-27.9614565756581,-5.78063846187998,-2.54866548997753,4.7424484430986
"AAPK2_HUMAN---AMOT_HUMAN",-27.9614565756581,-5.78063846187998,-2.54866548997753,4.7424484430986
