"","V1","V2"
"1433G_HUMAN---3BP5L_HUMAN",-61.382942104064,18.3359041169611
"1433G_HUMAN---AFAD_HUMAN",-57.5855713076293,-27.7953048319533
"1433G_HUMAN---ANS1A_HUMAN",-57.5855713076293,-27.7953048319533
"1433G_HUMAN---ARHG7_HUMAN",-55.5243305214437,14.223916760653
"1433G_HUMAN---BCLF1_HUMAN",-57.5855713076293,-27.7953048319533
"1433G_HUMAN---CDK16_HUMAN",-61.0620634858177,8.86752164065453
"1433G_HUMAN---CLAP1_HUMAN",-57.5855713076293,-27.7953048319533
"1433G_HUMAN---CRTC2_HUMAN",-61.382942104064,18.3359041169611
"1433G_HUMAN---DYR1A_HUMAN",-61.382942104064,18.3359041169611
"1433G_HUMAN---E41L2_HUMAN",-57.5855713076293,-27.7953048319533
"1433G_HUMAN---EDC3_HUMAN",-61.382942104064,18.3359041169611
"1433G_HUMAN---FA53C_HUMAN",-57.5855713076293,-27.7953048319533
"1433G_HUMAN---GSK3A_HUMAN",-61.0620634858177,8.86752164065453
"1433G_HUMAN---HDAC4_HUMAN",-40.8693217114316,54.0309180960911
"1433G_HUMAN---LARP1_HUMAN",1.42198067043754,-64.5567706183815
"1433G_HUMAN---LSR_HUMAN",-57.5855713076293,-27.7953048319533
"1433G_HUMAN---MARK2_HUMAN",-55.6830327972934,-29.3677953118956
"1433G_HUMAN---MFAP1_HUMAN",-61.382942104064,18.3359041169611
"1433G_HUMAN---PANK2_HUMAN",-57.5855713076293,-27.7953048319533
"1433G_HUMAN---PPIG_HUMAN",-57.5855713076293,-27.7953048319533
"1433G_HUMAN---PRP4B_HUMAN",-57.5855713076293,-27.7953048319533
"1433G_HUMAN---SMAG2_HUMAN",-57.5855713076293,-27.7953048319533
"1433G_HUMAN---SON_HUMAN",-61.382942104064,18.3359041169611
"1433G_HUMAN---SRPK1_HUMAN",-40.8693217114316,54.0309180960911
"1433G_HUMAN---SRRM2_HUMAN",-52.2815805574122,-31.3250648764392
"1433G_HUMAN---TR150_HUMAN",-61.382942104064,18.3359041169611
"1433G_HUMAN---TRA2A_HUMAN",-57.5855713076293,-27.7953048319533
"1433G_HUMAN---ZCH18_HUMAN",1.42198067043754,-64.5567706183815
"1433G_HUMAN---ZN638_HUMAN",-57.5855713076293,-27.7953048319533
"1433G_HUMAN---ZO2_HUMAN",-57.5855713076293,-27.7953048319533
"3BP5L_HUMAN---EYA4_HUMAN",-61.382942104064,18.3359041169611
"4ET_HUMAN---ATX1_HUMAN",-61.382942104064,18.3359041169611
"A8K015_HUMAN---STAT3_HUMAN",-39.004186913451,42.2052675807218
"A8K015_HUMAN---TMX1_HUMAN",-39.004186913451,42.2052675807218
"AAGAB_HUMAN---EIF3C_HUMAN",-61.382942104064,18.3359041169611
"AAPK2_HUMAN-->ACACA_HUMAN",-61.382942104064,18.3359041169611
"AAPK2_HUMAN---AMOT_HUMAN",-61.382942104064,18.3359041169611
"AAPK2_HUMAN---C170B_HUMAN",-61.382942104064,18.3359041169611
"ABI2_HUMAN---PCM1_HUMAN",-28.0958916359578,43.5958083950365
"ABI2_HUMAN---VINC_HUMAN",6.58861490572265,23.5746742221157
"ABLM1_HUMAN---T22D4_HUMAN",-57.5855713076293,-27.7953048319533
"ACAP2_HUMAN---CBX1_HUMAN",-40.8693217114316,54.0309180960911
"ACK1_HUMAN---CDC42_HUMAN",-59.8341102838034,20.7383572914822
"ACLY_HUMAN---HGS_HUMAN",-61.382942104064,18.3359041169611
"ACTB_HUMAN---KHDR1_HUMAN",-58.5326778293592,23.5313512050258
"ACTB_HUMAN---MIPT3_HUMAN",-57.5855713076293,-27.7953048319533
"ACTB_HUMAN---PRSR2_HUMAN",-61.382942104064,18.3359041169611
"ACTB_HUMAN---SVIL_HUMAN",2.80873644475144,-64.3009260063109
"ADCY6_HUMAN---ATX1_HUMAN",-40.8693217114316,54.0309180960911
"ADNP_HUMAN---SUMO2_HUMAN",-57.8807279766262,-26.1451422011021
"ADT1_HUMAN---B2L13_HUMAN",-61.382942104064,18.3359041169611
"AFAD_HUMAN---DREB_HUMAN",-57.5855713076293,-27.7953048319533
"AFAD_HUMAN---ZO1_HUMAN",-57.5855713076293,-27.7953048319533
"AFTIN_HUMAN---GGA3_HUMAN",-61.382942104064,18.3359041169611
"AHNK_HUMAN---SUMO2_HUMAN",-61.382942104064,18.3359041169611
"AKA10_HUMAN---NHRF1_HUMAN",-0.988634351683283,-18.1697170573965
"AKA11_HUMAN---KAP2_HUMAN",-57.5855713076293,-27.7953048319533
"AKA11_HUMAN---PP1A_HUMAN",-6.7731363765474,-9.71160998728022
"AKA12_HUMAN---KAP2_HUMAN",-57.5855713076293,-27.7953048319533
"AKAP1_HUMAN---KAP2_HUMAN",-57.5855713076293,-27.7953048319533
"AKAP2_HUMAN---KAP2_HUMAN",-57.5855713076293,-27.7953048319533
"AKT1_HUMAN-->1433Z_HUMAN",-61.3752747514195,15.3985987361444
"AKT1_HUMAN-->ATX1_HUMAN",-61.382942104064,18.3359041169611
"AKT1_HUMAN-->HJURP_HUMAN",-61.3752747514195,15.3985987361444
"AKT1_HUMAN-->PALLD_HUMAN",-61.3752747514195,15.3985987361444
"AKT1_HUMAN-->PDCD4_HUMAN",-61.3752747514195,15.3985987361444
"AKT1_HUMAN-->RANB3_HUMAN",-61.3752747514195,15.3985987361444
"AKT1_HUMAN-->SRPK2_HUMAN",-61.382942104064,18.3359041169611
"AKT1_HUMAN-->TBCD1_HUMAN",-61.382942104064,18.3359041169611
"AKT1_HUMAN-->TBCD4_HUMAN",-61.382942104064,18.3359041169611
"AKT1_HUMAN-->WNK1_HUMAN",-61.3752747514195,15.3985987361444
"AKT1_HUMAN-->YAP1_HUMAN",-61.3752747514195,15.3985987361444
"AKT1_HUMAN-->YBOX1_HUMAN",9.38023851765081,-14.8028613906393
"AKT1_HUMAN-->ZYX_HUMAN",-61.3752747514195,15.3985987361444
"AMOT_HUMAN---FOXK1_HUMAN",-61.382942104064,18.3359041169611
"AMOT_HUMAN---MPP5_HUMAN",-61.382942104064,18.3359041169611
"AMOT_HUMAN---RHG17_HUMAN",-61.382942104064,18.3359041169611
"ANXA2_HUMAN---TRM7_HUMAN",-61.382942104064,18.3359041169611
"AP3D1_HUMAN---CTNB1_HUMAN",-24.5926671987664,41.066891367959
"AR6P4_HUMAN---ARL6_HUMAN",-57.5855713076293,-27.7953048319533
"AR6P4_HUMAN---SRPK2_HUMAN",-61.382942104064,18.3359041169611
"AR6P6_HUMAN---ARL6_HUMAN",-57.5855713076293,-27.7953048319533
"ARHG5_HUMAN---CRKL_HUMAN",-57.5855713076293,-27.7953048319533
"ARHG7_HUMAN---CBL_HUMAN",49.1026951159172,16.4067714607011
"ARHG7_HUMAN---GIT1_HUMAN",-61.382942104064,18.3359041169611
"ARHG7_HUMAN---NAA10_HUMAN",-27.3871541427494,50.6247404608975
"ARHG7_HUMAN---SCRIB_HUMAN",-57.5855713076293,-27.7953048319533
"ARHGB_HUMAN---CDC42_HUMAN",-59.8341102838034,20.7383572914822
"ARIP4_HUMAN---SUMO2_HUMAN",-61.382942104064,18.3359041169611
"ARL4D_HUMAN---EMAL4_HUMAN",-61.382942104064,18.3359041169611
"ARL4D_HUMAN---PGAM1_HUMAN",-61.382942104064,18.3359041169611
"ARP8_HUMAN---TFPT_HUMAN",-61.382942104064,18.3359041169611
"ARPC3_HUMAN---BAG6_HUMAN",-43.9537347469434,49.2851988638689
"ARPC3_HUMAN---OTUD5_HUMAN",-61.382942104064,18.3359041169611
"ASPM_HUMAN---SUMO2_HUMAN",-17.9759034969508,-13.9032314383202
"AT133_HUMAN---MD2L1_HUMAN",-61.382942104064,18.3359041169611
"AT1A1_HUMAN---MK01_HUMAN",1.42198067043754,-64.5567706183815
