"","V1","V2"
"1433G_HUMAN---3BP5L_HUMAN",-73.2988387802299,22.6898838412016
"1433G_HUMAN---AFAD_HUMAN",-69.0150877463354,-33.149927867041
"1433G_HUMAN---ANS1A_HUMAN",-69.0150877463354,-33.149927867041
"1433G_HUMAN---ARHG7_HUMAN",-67.0398111369312,18.3760796787058
"1433G_HUMAN---BCLF1_HUMAN",-69.0150877463354,-33.149927867041
"1433G_HUMAN---CDK16_HUMAN",-73.0982993744651,12.6687179788387
"1433G_HUMAN---CLAP1_HUMAN",-69.0150877463354,-33.149927867041
"1433G_HUMAN---CRTC2_HUMAN",-73.2988387802299,22.6898838412016
"1433G_HUMAN---DYR1A_HUMAN",-73.2988387802299,22.6898838412016
"1433G_HUMAN---E41L2_HUMAN",-69.0150877463354,-33.149927867041
"1433G_HUMAN---EDC3_HUMAN",-73.2988387802299,22.6898838412016
"1433G_HUMAN---FA53C_HUMAN",-69.0150877463354,-33.149927867041
"1433G_HUMAN---GSK3A_HUMAN",-73.0982993744651,12.6687179788387
"1433G_HUMAN---HDAC4_HUMAN",-47.2634580113344,67.6364051877971
"1433G_HUMAN---LARP1_HUMAN",-1.8884305378156,-77.0971304451997
"1433G_HUMAN---LSR_HUMAN",-69.0150877463354,-33.149927867041
"1433G_HUMAN---MARK2_HUMAN",-66.9866140775869,-34.8057524103039
"1433G_HUMAN---MFAP1_HUMAN",-73.2988387802299,22.6898838412016
"1433G_HUMAN---PANK2_HUMAN",-69.0150877463354,-33.149927867041
"1433G_HUMAN---PPIG_HUMAN",-69.0150877463354,-33.149927867041
"1433G_HUMAN---PRP4B_HUMAN",-69.0150877463354,-33.149927867041
"1433G_HUMAN---SMAG2_HUMAN",-69.0150877463354,-33.149927867041
"1433G_HUMAN---SON_HUMAN",-73.2988387802299,22.6898838412016
"1433G_HUMAN---SRPK1_HUMAN",-47.2634580113344,67.6364051877971
"1433G_HUMAN---SRRM2_HUMAN",-63.4588330396287,-36.9036494223546
"1433G_HUMAN---TR150_HUMAN",-73.2988387802299,22.6898838412016
"1433G_HUMAN---TRA2A_HUMAN",-69.0150877463354,-33.149927867041
"1433G_HUMAN---ZCH18_HUMAN",-1.8884305378156,-77.0971304451997
"1433G_HUMAN---ZN638_HUMAN",-69.0150877463354,-33.149927867041
"1433G_HUMAN---ZO2_HUMAN",-69.0150877463354,-33.149927867041
"3BP5L_HUMAN---EYA4_HUMAN",-73.2988387802299,22.6898838412016
"4ET_HUMAN---ATX1_HUMAN",-73.2988387802299,22.6898838412016
"A8K015_HUMAN---STAT3_HUMAN",-44.5754172284342,56.1557045092036
"A8K015_HUMAN---TMX1_HUMAN",-44.5754172284342,56.1557045092036
"AAGAB_HUMAN---EIF3C_HUMAN",-73.2988387802299,22.6898838412016
"AAPK2_HUMAN-->ACACA_HUMAN",-73.2988387802299,22.6898838412016
"AAPK2_HUMAN---AMOT_HUMAN",-73.2988387802299,22.6898838412016
"AAPK2_HUMAN---C170B_HUMAN",-73.2988387802299,22.6898838412016
"ABI2_HUMAN---PCM1_HUMAN",-33.5769171510809,56.5876289085812
"ABI2_HUMAN---VINC_HUMAN",7.12994596062157,30.8867510664614
"ABLM1_HUMAN---T22D4_HUMAN",-69.0150877463354,-33.149927867041
"ACAP2_HUMAN---CBX1_HUMAN",-47.2634580113344,67.6364051877971
"ACK1_HUMAN---CDC42_HUMAN",-71.6261171517498,25.0689770498489
"ACLY_HUMAN---HGS_HUMAN",-73.2988387802299,22.6898838412016
"ACTB_HUMAN---KHDR1_HUMAN",-70.1019147673963,28.1355741556904
"ACTB_HUMAN---MIPT3_HUMAN",-69.0150877463354,-33.149927867041
"ACTB_HUMAN---PRSR2_HUMAN",-73.2988387802299,22.6898838412016
"ACTB_HUMAN---SVIL_HUMAN",-0.352329639165598,-76.8670740784973
"ADCY6_HUMAN---ATX1_HUMAN",-47.2634580113344,67.6364051877971
"ADNP_HUMAN---SUMO2_HUMAN",-69.3159842814808,-31.3826069767864
"ADT1_HUMAN---B2L13_HUMAN",-73.2988387802299,22.6898838412016
"AFAD_HUMAN---DREB_HUMAN",-69.0150877463354,-33.149927867041
"AFAD_HUMAN---ZO1_HUMAN",-69.0150877463354,-33.149927867041
"AFTIN_HUMAN---GGA3_HUMAN",-73.2988387802299,22.6898838412016
"AHNK_HUMAN---SUMO2_HUMAN",-73.2988387802299,22.6898838412016
"AKA10_HUMAN---NHRF1_HUMAN",-4.63608067306001,-21.0272623702547
"AKA11_HUMAN---KAP2_HUMAN",-69.0150877463354,-33.149927867041
"AKA11_HUMAN---PP1A_HUMAN",-11.0376418072586,-11.4261491050118
"AKA12_HUMAN---KAP2_HUMAN",-69.0150877463354,-33.149927867041
"AKAP1_HUMAN---KAP2_HUMAN",-69.0150877463354,-33.149927867041
"AKAP2_HUMAN---KAP2_HUMAN",-69.0150877463354,-33.149927867041
"AKT1_HUMAN-->1433Z_HUMAN",-73.3307150031284,19.5698046110255
"AKT1_HUMAN-->ATX1_HUMAN",-73.2988387802299,22.6898838412016
"AKT1_HUMAN-->HJURP_HUMAN",-73.3307150031284,19.5698046110255
"AKT1_HUMAN-->PALLD_HUMAN",-73.3307150031284,19.5698046110255
"AKT1_HUMAN-->PDCD4_HUMAN",-73.3307150031284,19.5698046110255
"AKT1_HUMAN-->RANB3_HUMAN",-73.3307150031284,19.5698046110255
"AKT1_HUMAN-->SRPK2_HUMAN",-73.2988387802299,22.6898838412016
"AKT1_HUMAN-->TBCD1_HUMAN",-73.2988387802299,22.6898838412016
"AKT1_HUMAN-->TBCD4_HUMAN",-73.2988387802299,22.6898838412016
"AKT1_HUMAN-->WNK1_HUMAN",-73.3307150031284,19.5698046110255
"AKT1_HUMAN-->YAP1_HUMAN",-73.3307150031284,19.5698046110255
"AKT1_HUMAN-->YBOX1_HUMAN",6.69213478443232,-17.5667591833419
"AKT1_HUMAN-->ZYX_HUMAN",-73.3307150031284,19.5698046110255
"AMOT_HUMAN---FOXK1_HUMAN",-73.2988387802299,22.6898838412016
"AMOT_HUMAN---MPP5_HUMAN",-73.2988387802299,22.6898838412016
"AMOT_HUMAN---RHG17_HUMAN",-73.2988387802299,22.6898838412016
"ANXA2_HUMAN---TRM7_HUMAN",-73.2988387802299,22.6898838412016
"AP3D1_HUMAN---CTNB1_HUMAN",-29.7384865217036,53.7833038593752
"AR6P4_HUMAN---ARL6_HUMAN",-69.0150877463354,-33.149927867041
"AR6P4_HUMAN---SRPK2_HUMAN",-73.2988387802299,22.6898838412016
"AR6P6_HUMAN---ARL6_HUMAN",-69.0150877463354,-33.149927867041
"ARHG5_HUMAN---CRKL_HUMAN",-69.0150877463354,-33.149927867041
"ARHG7_HUMAN---CBL_HUMAN",59.4850067457942,21.8493575022842
"ARHG7_HUMAN---GIT1_HUMAN",-73.2988387802299,22.6898838412016
"ARHG7_HUMAN---NAA10_HUMAN",-32.4996856142297,63.3861131436201
"ARHG7_HUMAN---SCRIB_HUMAN",-69.0150877463354,-33.149927867041
"ARHGB_HUMAN---CDC42_HUMAN",-71.6261171517498,25.0689770498489
