"","V1","V2","V3","V4"
"1433G_HUMAN---3BP5L_HUMAN",-40.1274340687778,-8.27366053075527,-10.678334965712,-3.02556496098634
"1433G_HUMAN---AFAD_HUMAN",-38.6445251866386,15.1241586328022,7.6919278080987,-1.21445491467147
"1433G_HUMAN---ANS1A_HUMAN",-38.6445251866386,15.1241586328022,7.6919278080987,-1.21445491467147
"1433G_HUMAN---ARHG7_HUMAN",-35.137577372193,-8.00132381923199,-5.54554245270624,-8.4955857178823
"1433G_HUMAN---BCLF1_HUMAN",-38.6445251866386,15.1241586328022,7.6919278080987,-1.21445491467147
"1433G_HUMAN---CDK16_HUMAN",-39.9432667409905,-0.291040367417571,-4.94708264828608,-3.53342558933816
"1433G_HUMAN---CLAP1_HUMAN",-38.6445251866386,15.1241586328022,7.6919278080987,-1.21445491467147
"1433G_HUMAN---CRTC2_HUMAN",-40.1274340687778,-8.27366053075527,-10.678334965712,-3.02556496098634
"1433G_HUMAN---DYR1A_HUMAN",-40.1274340687778,-8.27366053075527,-10.678334965712,-3.02556496098634
"1433G_HUMAN---E41L2_HUMAN",-38.6445251866386,15.1241586328022,7.6919278080987,-1.21445491467147
"1433G_HUMAN---EDC3_HUMAN",-40.1274340687778,-8.27366053075527,-10.678334965712,-3.02556496098634
"1433G_HUMAN---FA53C_HUMAN",-38.6445251866386,15.1241586328022,7.6919278080987,-1.21445491467147
"1433G_HUMAN---GSK3A_HUMAN",-39.9432667409905,-0.291040367417571,-4.94708264828608,-3.53342558933816
"1433G_HUMAN---HDAC4_HUMAN",-27.370426988883,-29.5741562092263,3.39280880205494,12.8206042482935
"1433G_HUMAN---LARP1_HUMAN",10.0159904532745,36.9867674352116,-14.8979830535409,6.78505392899748
"1433G_HUMAN---LSR_HUMAN",-38.6445251866386,15.1241586328022,7.6919278080987,-1.21445491467147
"1433G_HUMAN---MARK2_HUMAN",-37.009851490017,15.9851420033337,5.59312471009651,0.857709351186218
"1433G_HUMAN---MFAP1_HUMAN",-40.1274340687778,-8.27366053075527,-10.678334965712,-3.02556496098634
"1433G_HUMAN---PANK2_HUMAN",-38.6445251866386,15.1241586328022,7.6919278080987,-1.21445491467147
"1433G_HUMAN---PPIG_HUMAN",-38.6445251866386,15.1241586328022,7.6919278080987,-1.21445491467147
"1433G_HUMAN---PRP4B_HUMAN",-38.6445251866386,15.1241586328022,7.6919278080987,-1.21445491467147
"1433G_HUMAN---SMAG2_HUMAN",-38.6445251866386,15.1241586328022,7.6919278080987,-1.21445491467147
"1433G_HUMAN---SON_HUMAN",-40.1274340687778,-8.27366053075527,-10.678334965712,-3.02556496098634
"1433G_HUMAN---SRPK1_HUMAN",-27.370426988883,-29.5741562092263,3.39280880205494,12.8206042482935
"1433G_HUMAN---SRRM2_HUMAN",-34.7923788041516,16.1757158095253,4.46377338537678,-1.90773646814373
"1433G_HUMAN---TR150_HUMAN",-40.1274340687778,-8.27366053075527,-10.678334965712,-3.02556496098634
"1433G_HUMAN---TRA2A_HUMAN",-38.6445251866386,15.1241586328022,7.6919278080987,-1.21445491467147
