"","V1","V2","V3"
"EGF_HUMAN-->EGFR_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"EGF_HUMAN-->S10A4_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"S10A4_HUMAN-->MYH9_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"K7PPA8_HUMAN-->MDM2_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"MDM2_HUMAN-->P53_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"S10A4_HUMAN-->K7PPA8_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"K7PPA8_HUMAN-->SIR1_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"MDM2_HUMAN-->MDM4_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"MDM4_HUMAN-->P53_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"CD2A2_HUMAN-->CDK4_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"CDK4_HUMAN-->RB_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"MDM2_HUMAN-->CD2A2_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"EP300_HUMAN-->P53_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"K7PPA8_HUMAN-->EP300_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"K7PPA8_HUMAN-->UBP7_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"UBP7_HUMAN-->P53_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"K7PPA8_HUMAN-->MDM4_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"MDM4_HUMAN-->MDM2_HUMAN",-57.2674347170462,-1.16476359824354,-15.7650855323685
"MDM2_HUMAN-->RB_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"UBP7_HUMAN-->MDM2_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"MDM2_HUMAN-->UB2D2_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"UB2D2_HUMAN-->CHIP_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"MDM2_HUMAN-->UBP7_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"UB2D2_HUMAN-->CBL_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"CCND1_HUMAN-->RB_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"CDK4_HUMAN-->CCND1_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"MDM2_HUMAN-->SUMO1_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"SUMO1_HUMAN-->P53_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"EP300_HUMAN-->SP1_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"SP1_HUMAN-->HDAC1_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"EP300_HUMAN-->G4XH65_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"G4XH65_HUMAN-->SRC_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"SRC_HUMAN-->FAK1_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
"SRC_HUMAN-->HNRPK_HUMAN",-50.5460215712516,-13.4206182146216,5.97519153117513
