"","V1","V2","V3"
"1433E_HUMAN---HDAC4_HUMAN",-49.1454677685097,36.5001895886066,3.72141228396449
"1433E_HUMAN---KPRB_HUMAN",-49.1454677685097,36.5001895886066,3.72141228396449
"1433T_HUMAN---CBL_HUMAN",-56.7131070751597,-14.4583521267582,1.92689032572423
"1433T_HUMAN---CRTC2_HUMAN",-33.9226994308532,44.6354581750324,-14.428674743528
"41_HUMAN---CDK1_HUMAN",-53.3299695776657,-20.0037789729431,-11.6485438070481
"41_HUMAN---MYH10_HUMAN",-22.201181830972,-41.6400776704797,33.5718631034125
"A4D1G0_HUMAN---CLASR_HUMAN",-39.3887293615295,42.91945656813,-7.96444930169444
"A4D1G0_HUMAN---RB_HUMAN",-39.3887293615295,42.91945656813,-7.96444930169444
"A4_HUMAN---AR6P6_HUMAN",-58.4854292650344,-5.54059147819094,9.34691168969804
"AAGAB_HUMAN---EIF3C_HUMAN",-49.1454677685097,36.5001895886066,3.72141228396449
"AAPK1_HUMAN---ACACA_HUMAN",-58.4179501694142,14.2129851530823,9.77173049259005
"ABI1_HUMAN---MK01_HUMAN",-51.292891933938,-25.1626343060914,-22.1119750856807
"ABI1_HUMAN---MK03_HUMAN",-51.292891933938,-25.1626343060914,-22.1119750856807
"ABI2_HUMAN---MIPT3_HUMAN",-53.3299695776657,-20.0037789729431,-11.6485438070481
"ABI2_HUMAN---PCM1_HUMAN",-59.2399002122031,4.67714171713871,9.6681807241943
"ABLM1_HUMAN---T22D4_HUMAN",-58.4854292650344,-5.54059147819094,9.34691168969804
"ACAP2_HUMAN---CBX1_HUMAN",-58.4854292650344,-5.54059147819094,9.34691168969804
"ACINU_HUMAN---SRPK2_HUMAN",-53.3299695776657,-20.0037789729431,-11.6485438070481
"ACK1_HUMAN---BCAR1_HUMAN",-53.3299695776657,-20.0037789729431,-11.6485438070481
"ACTB_HUMAN---E41L2_HUMAN",-58.4854292650344,-5.54059147819094,9.34691168969804
"ACTB_HUMAN---MIPT3_HUMAN",-53.3299695776657,-20.0037789729431,-11.6485438070481
"ACTB_HUMAN---PRSR2_HUMAN",-44.4067093788449,40.4109040837165,-1.73329576756214
"AFAD_HUMAN---EPHA7_HUMAN",-51.292891933938,-25.1626343060914,-22.1119750856807
"AFTIN_HUMAN---GGA3_HUMAN",-59.2399002122031,4.67714171713871,9.6681807241943
"AHNK_HUMAN---CDK1_HUMAN",-59.2399002122031,4.67714171713871,9.6681807241943
"AKA10_HUMAN---MYH9_HUMAN",-56.1477216077392,23.3710676355416,10.1421091079685
"AKA11_HUMAN---KAP2_HUMAN",-59.2399002122031,4.67714171713871,9.6681807241943
"AKAP1_HUMAN---KAP2_HUMAN",-56.7131070751597,-14.4583521267582,1.92689032572423
"AMOT_HUMAN---MPP5_HUMAN",-33.9226994308532,44.6354581750324,-14.428674743528
"ANXA2_HUMAN---TNIK_HUMAN",-58.4854292650344,-5.54059147819094,9.34691168969804
"APC1_HUMAN---CDK1_HUMAN",-59.2399002122031,4.67714171713871,9.6681807241943
"AR6P4_HUMAN---SRPK2_HUMAN",-52.4273562340343,31.7183063408895,9.73035163826903
"ARHGB_HUMAN---GSK3A_HUMAN",-56.7131070751597,-14.4583521267582,1.92689032572423
"ARI2_HUMAN---EMAL4_HUMAN",-56.7131070751597,-14.4583521267582,1.92689032572423
"ARI2_HUMAN---P53_HUMAN",-56.7131070751597,-14.4583521267582,1.92689032572423
"ARPC3_HUMAN---BAG6_HUMAN",-26.0235496596095,48.5537579700466,-13.8873886511763
"ARPC3_HUMAN---OTUD5_HUMAN",-26.0235496596095,48.5537579700466,-13.8873886511763
"AT133_HUMAN---MD2L1_HUMAN",-56.1477216077392,23.3710676355416,10.1421091079685
"ATRX_HUMAN---EZH2_HUMAN",-21.2941513655032,11.0482566679866,32.2438876503869
"ATX2L_HUMAN---OXSR1_HUMAN",-49.1454677685097,36.5001895886066,3.72141228396449
"AURKB_HUMAN---LMO7_HUMAN",-58.4179501694142,14.2129851530823,9.77173049259005
"AZI1_HUMAN---PCM1_HUMAN",-59.2399002122031,4.67714171713871,9.6681807241943
"B2L13_HUMAN---CH60_HUMAN",-58.4179501694142,14.2129851530823,9.77173049259005
"B2R4R0_HUMAN---TP53B_HUMAN",-58.4854292650344,-5.54059147819094,9.34691168969804
"B2RBV7_HUMAN---OTUL_HUMAN",-59.2399002122031,4.67714171713871,9.6681807241943
"B2RBV7_HUMAN---VPRBP_HUMAN",-59.2399002122031,4.67714171713871,9.6681807241943
"B4E1U9_HUMAN---BORG1_HUMAN",-49.1454677685097,36.5001895886066,3.72141228396449
"B4E1U9_HUMAN---WASL_HUMAN",-49.1454677685097,36.5001895886066,3.72141228396449
"BACH_HUMAN---NHLC2_HUMAN",-58.4854292650344,-5.54059147819094,9.34691168969804
"BAD_HUMAN---KS6A1_HUMAN",-59.2399002122031,4.67714171713871,9.6681807241943
"BAG6_HUMAN---CDK16_HUMAN",-58.4179501694142,14.2129851530823,9.77173049259005
"BARD1_HUMAN---DHX57_HUMAN",-33.9226994308532,44.6354581750324,-14.428674743528
"BARD1_HUMAN---LARP1_HUMAN",9.72262201492729,52.8982364761042,-12.900768703397
"BARD1_HUMAN---P53_HUMAN",-33.9226994308532,44.6354581750324,-14.428674743528
"BARD1_HUMAN---SCAFB_HUMAN",3.11174309945886,52.5954148337541,-15.9419834983068
"BARD1_HUMAN---TBCD1_HUMAN",-33.9226994308532,44.6354581750324,-14.428674743528
"BARD1_HUMAN---TPC11_HUMAN",9.72262201492729,52.8982364761042,-12.900768703397
"BBX_HUMAN---HS90B_HUMAN",-59.2399002122031,4.67714171713871,9.6681807241943
"BCAR1_HUMAN---ZYX_HUMAN",-53.3299695776657,-20.0037789729431,-11.6485438070481
"BCLF1_HUMAN---SRRM1_HUMAN",-53.3299695776657,-20.0037789729431,-11.6485438070481
"BCOR_HUMAN---ZBT7A_HUMAN",-56.1477216077392,23.3710676355416,10.1421091079685
"BCS1_HUMAN---DDX24_HUMAN",-59.2399002122031,4.67714171713871,9.6681807241943
"BRAP_HUMAN---KSR1_HUMAN",-44.4067093788449,40.4109040837165,-1.73329576756214
"B2R4R0_HUMAN---BRD2_HUMAN",-58.4854292650344,-5.54059147819094,9.34691168969804
"BRD3_HUMAN---SRPK2_HUMAN",-4.04911566537978,52.619411565784,-15.9904892914513
"BUD13_HUMAN---CDK1_HUMAN",-59.2399002122031,4.67714171713871,9.6681807241943
"BZW2_HUMAN---SMAP_HUMAN",-44.4067093788449,40.4109040837165,-1.73329576756214
"CA052_HUMAN---NFKB1_HUMAN",-59.2399002122031,4.67714171713871,9.6681807241943
"CAAP1_HUMAN---KAT7_HUMAN",-39.3887293615295,42.91945656813,-7.96444930169444
