"","V1","V2","V3","V4","V5"
"1433E_HUMAN---HDAC4_HUMAN",-44.8303431686025,38.8684017394722,6.03521166000749,14.2359967617678,6.05570523413048
"1433E_HUMAN---KPRB_HUMAN",-44.8303431686025,38.8684017394722,6.03521166000749,14.2359967617678,6.05570523413048
"1433T_HUMAN---CBL_HUMAN",-60.4276826209324,-14.0737693832982,-7.25059099248231,-7.3152916519836,6.24423755158147
"1433T_HUMAN---CRTC2_HUMAN",-29.6660415359434,50.583497372455,-15.5682085527015,4.55090642865099,11.848407828863
"41_HUMAN---CDK1_HUMAN",-56.7565107208497,-21.6954309463715,-11.8903843819908,5.02360524408881,-1.13480827629405
"41_HUMAN---MYH10_HUMAN",-20.0398469509362,-35.3283494993569,22.7466757656765,-1.7581676532431,36.7861926305669
"A4D1G0_HUMAN---CLASR_HUMAN",-34.9499007311441,47.9642276479466,-8.56975315578585,8.97074594256866,11.0268301877604
"A4D1G0_HUMAN---RB_HUMAN",-34.9499007311441,47.9642276479466,-8.56975315578585,8.97074594256866,11.0268301877604
"A4_HUMAN---AR6P6_HUMAN",-62.089174616397,-3.77533906348882,3.87665627572061,-14.8905723516763,3.25472849851649
"AAGAB_HUMAN---EIF3C_HUMAN",-44.8303431686025,38.8684017394722,6.03521166000749,14.2359967617678,6.05570523413048
"AAPK1_HUMAN---ACACA_HUMAN",-57.6053775052553,15.3071873990383,17.2321997341872,-2.03155803676857,-6.98977297163873
"ABI1_HUMAN---MK01_HUMAN",-54.3512921568432,-24.976771184532,-13.4456322733453,14.8221085409591,-11.2313203142198
"ABI1_HUMAN---MK03_HUMAN",-54.3512921568432,-24.976771184532,-13.4456322733453,14.8221085409591,-11.2313203142198
"ABI2_HUMAN---MIPT3_HUMAN",-56.7565107208497,-21.6954309463715,-11.8903843819908,5.02360524408881,-1.13480827629405
"ABI2_HUMAN---PCM1_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"ABLM1_HUMAN---T22D4_HUMAN",-62.089174616397,-3.77533906348882,3.87665627572061,-14.8905723516763,3.25472849851649
"ACAP2_HUMAN---CBX1_HUMAN",-62.089174616397,-3.77533906348882,3.87665627572061,-14.8905723516763,3.25472849851649
"ACINU_HUMAN---SRPK2_HUMAN",-56.7565107208497,-21.6954309463715,-11.8903843819908,5.02360524408881,-1.13480827629405
"ACK1_HUMAN---BCAR1_HUMAN",-56.7565107208497,-21.6954309463715,-11.8903843819908,5.02360524408881,-1.13480827629405
"ACTB_HUMAN---E41L2_HUMAN",-62.089174616397,-3.77533906348882,3.87665627572061,-14.8905723516763,3.25472849851649
"ACTB_HUMAN---MIPT3_HUMAN",-56.7565107208497,-21.6954309463715,-11.8903843819908,5.02360524408881,-1.13480827629405
"ACTB_HUMAN---PRSR2_HUMAN",-39.9583342224251,44.13490034354,-1.13824988069292,12.1596459387889,9.78136043024928
"AFAD_HUMAN---EPHA7_HUMAN",-54.3512921568432,-24.976771184532,-13.4456322733453,14.8221085409591,-11.2313203142198
"AFTIN_HUMAN---GGA3_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"AHNK_HUMAN---CDK1_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"AKA10_HUMAN---MYH9_HUMAN",-53.7430198324041,24.3130831763581,16.5429487719854,6.62817839998521,-4.64017322150508
"AKA11_HUMAN---KAP2_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"AKAP1_HUMAN---KAP2_HUMAN",-60.4276826209324,-14.0737693832982,-7.25059099248231,-7.3152916519836,6.24423755158147
"AMOT_HUMAN---MPP5_HUMAN",-29.6660415359434,50.583497372455,-15.5682085527015,4.55090642865099,11.848407828863
"ANXA2_HUMAN---TNIK_HUMAN",-62.089174616397,-3.77533906348882,3.87665627572061,-14.8905723516763,3.25472849851649
"APC1_HUMAN---CDK1_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"AR6P4_HUMAN---SRPK2_HUMAN",-49.3607132984361,32.3619555038341,12.5100801147909,11.4502495110403,1.33536544010907
"ARHGB_HUMAN---GSK3A_HUMAN",-60.4276826209324,-14.0737693832982,-7.25059099248231,-7.3152916519836,6.24423755158147
"ARI2_HUMAN---EMAL4_HUMAN",-60.4276826209324,-14.0737693832982,-7.25059099248231,-7.3152916519836,6.24423755158147
"ARI2_HUMAN---P53_HUMAN",-60.4276826209324,-14.0737693832982,-7.25059099248231,-7.3152916519836,6.24423755158147
"ARPC3_HUMAN---BAG6_HUMAN",-23.7314179799698,52.4196226209386,-19.7391806479297,-0.495517275366835,8.29725938609985
"ARPC3_HUMAN---OTUD5_HUMAN",-23.7314179799698,52.4196226209386,-19.7391806479297,-0.495517275366835,8.29725938609985
"AT133_HUMAN---MD2L1_HUMAN",-53.7430198324041,24.3130831763581,16.5429487719854,6.62817839998521,-4.64017322150508
"ATRX_HUMAN---EZH2_HUMAN",-11.0065912013194,20.1059562680721,33.0539972306948,22.3532332589892,36.3963940607443
"ATX2L_HUMAN---OXSR1_HUMAN",-44.8303431686025,38.8684017394722,6.03521166000749,14.2359967617678,6.05570523413048
"AURKB_HUMAN---LMO7_HUMAN",-57.6053775052553,15.3071873990383,17.2321997341872,-2.03155803676857,-6.98977297163873
"AZI1_HUMAN---PCM1_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"B2L13_HUMAN---CH60_HUMAN",-57.6053775052553,15.3071873990383,17.2321997341872,-2.03155803676857,-6.98977297163873
"B2R4R0_HUMAN---TP53B_HUMAN",-62.089174616397,-3.77533906348882,3.87665627572061,-14.8905723516763,3.25472849851649
"B2RBV7_HUMAN---OTUL_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"B2RBV7_HUMAN---VPRBP_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"B4E1U9_HUMAN---BORG1_HUMAN",-44.8303431686025,38.8684017394722,6.03521166000749,14.2359967617678,6.05570523413048
"B4E1U9_HUMAN---WASL_HUMAN",-44.8303431686025,38.8684017394722,6.03521166000749,14.2359967617678,6.05570523413048
"BACH_HUMAN---NHLC2_HUMAN",-62.089174616397,-3.77533906348882,3.87665627572061,-14.8905723516763,3.25472849851649
"BAD_HUMAN---KS6A1_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"BAG6_HUMAN---CDK16_HUMAN",-57.6053775052553,15.3071873990383,17.2321997341872,-2.03155803676857,-6.98977297163873
"BARD1_HUMAN---DHX57_HUMAN",-29.6660415359434,50.583497372455,-15.5682085527015,4.55090642865099,11.848407828863
"BARD1_HUMAN---LARP1_HUMAN",7.26244558939582,48.0894187112584,-19.3600392271726,-17.8393285443787,-18.4848057261019
"BARD1_HUMAN---P53_HUMAN",-29.6660415359434,50.583497372455,-15.5682085527015,4.55090642865099,11.848407828863
"BARD1_HUMAN---SCAFB_HUMAN",0.89191248166366,49.8040922250996,-24.3959854123627,-15.7961416694707,-13.2116613162498
"BARD1_HUMAN---TBCD1_HUMAN",-29.6660415359434,50.583497372455,-15.5682085527015,4.55090642865099,11.848407828863
"BARD1_HUMAN---TPC11_HUMAN",7.26244558939582,48.0894187112584,-19.3600392271726,-17.8393285443787,-18.4848057261019
"BBX_HUMAN---HS90B_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"BCAR1_HUMAN---ZYX_HUMAN",-56.7565107208497,-21.6954309463715,-11.8903843819908,5.02360524408881,-1.13480827629405
"BCLF1_HUMAN---SRRM1_HUMAN",-56.7565107208497,-21.6954309463715,-11.8903843819908,5.02360524408881,-1.13480827629405
"BCOR_HUMAN---ZBT7A_HUMAN",-53.7430198324041,24.3130831763581,16.5429487719854,6.62817839998521,-4.64017322150508
"BCS1_HUMAN---DDX24_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"BRAP_HUMAN---KSR1_HUMAN",-39.9583342224251,44.13490034354,-1.13824988069292,12.1596459387889,9.78136043024928
"B2R4R0_HUMAN---BRD2_HUMAN",-62.089174616397,-3.77533906348882,3.87665627572061,-14.8905723516763,3.25472849851649
"BRD3_HUMAN---SRPK2_HUMAN",-5.53607574384617,51.3848166029496,-25.3911659780412,-12.3821418909247,-9.22147610640882
"BUD13_HUMAN---CDK1_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"BZW2_HUMAN---SMAP_HUMAN",-39.9583342224251,44.13490034354,-1.13824988069292,12.1596459387889,9.78136043024928
"CA052_HUMAN---NFKB1_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"CAAP1_HUMAN---KAT7_HUMAN",-34.9499007311441,47.9642276479466,-8.56975315578585,8.97074594256866,11.0268301877604
"CADH1_HUMAN---CTNB1_HUMAN",-34.9499007311441,47.9642276479466,-8.56975315578585,8.97074594256866,11.0268301877604
"BAZ1B_HUMAN---CAF1B_HUMAN",-5.53607574384617,51.3848166029496,-25.3911659780412,-12.3821418909247,-9.22147610640882
"CALX_HUMAN---MK03_HUMAN",-60.4276826209324,-14.0737693832982,-7.25059099248231,-7.3152916519836,6.24423755158147
"CALX_HUMAN---PGRC1_HUMAN",-60.4276826209324,-14.0737693832982,-7.25059099248231,-7.3152916519836,6.24423755158147
"CBL_HUMAN---CD2AP_HUMAN",-56.7565107208497,-21.6954309463715,-11.8903843819908,5.02360524408881,-1.13480827629405
"CBL_HUMAN---GRB2_HUMAN",-54.3512921568432,-24.976771184532,-13.4456322733453,14.8221085409591,-11.2313203142198
"AURKB_HUMAN---CCD86_HUMAN",-57.6053775052553,15.3071873990383,17.2321997341872,-2.03155803676857,-6.98977297163873
"CCDC6_HUMAN---HDAC1_HUMAN",-12.0356190771432,52.358520338759,-25.8047707524587,-8.32082297745983,-4.78821202375638
"CD2B2_HUMAN---U520_HUMAN",-60.4276826209324,-14.0737693832982,-7.25059099248231,-7.3152916519836,6.24423755158147
"CDC20_HUMAN---MD2L1_HUMAN",-53.7430198324041,24.3130831763581,16.5429487719854,6.62817839998521,-4.64017322150508
"CDC20_HUMAN---MDC1_HUMAN",-53.7430198324041,24.3130831763581,16.5429487719854,6.62817839998521,-4.64017322150508
"CDC7_HUMAN---MCM2_HUMAN",-53.7430198324041,24.3130831763581,16.5429487719854,6.62817839998521,-4.64017322150508
"CDC7_HUMAN---PSIP1_HUMAN",-53.7430198324041,24.3130831763581,16.5429487719854,6.62817839998521,-4.64017322150508
"C1QBP_HUMAN---CDK13_HUMAN",-49.3607132984361,32.3619555038341,12.5100801147909,11.4502495110403,1.33536544010907
"CDK16_HUMAN---KAPCA_HUMAN",-62.089174616397,-3.77533906348882,3.87665627572061,-14.8905723516763,3.25472849851649
"CDK1_HUMAN---DNLI3_HUMAN",-62.089174616397,-3.77533906348882,3.87665627572061,-14.8905723516763,3.25472849851649
"BACH_HUMAN---CDK2_HUMAN",-62.089174616397,-3.77533906348882,3.87665627572061,-14.8905723516763,3.25472849851649
"BAP18_HUMAN---CDK2_HUMAN",-60.4276826209324,-14.0737693832982,-7.25059099248231,-7.3152916519836,6.24423755158147
"CDK2_HUMAN---NUFP2_HUMAN",-39.9583342224251,44.13490034354,-1.13824988069292,12.1596459387889,9.78136043024928
"CDK2_HUMAN---RB_HUMAN",-60.4276826209324,-14.0737693832982,-7.25059099248231,-7.3152916519836,6.24423755158147
"CDK2_HUMAN---TB182_HUMAN",-57.6053775052553,15.3071873990383,17.2321997341872,-2.03155803676857,-6.98977297163873
"C2CD5_HUMAN---CDK5_HUMAN",7.26244558939582,48.0894187112584,-19.3600392271726,-17.8393285443787,-18.4848057261019
"CDK5_HUMAN---P53_HUMAN",-60.4276826209324,-14.0737693832982,-7.25059099248231,-7.3152916519836,6.24423755158147
"CFTR_HUMAN---HACD3_HUMAN",-62.089174616397,-3.77533906348882,3.87665627572061,-14.8905723516763,3.25472849851649
"CFTR_HUMAN---NHRF1_HUMAN",-62.089174616397,-3.77533906348882,3.87665627572061,-14.8905723516763,3.25472849851649
"CH10_HUMAN---CH60_HUMAN",-57.6053775052553,15.3071873990383,17.2321997341872,-2.03155803676857,-6.98977297163873
"CHAP1_HUMAN---MDC1_HUMAN",-53.7430198324041,24.3130831763581,16.5429487719854,6.62817839998521,-4.64017322150508
"CHD4_HUMAN---HDAC1_HUMAN",-56.7565107208497,-21.6954309463715,-11.8903843819908,5.02360524408881,-1.13480827629405
"CK052_HUMAN---SRPK1_HUMAN",-29.6660415359434,50.583497372455,-15.5682085527015,4.55090642865099,11.848407828863
"1433G_HUMAN---CLAP1_HUMAN",-60.4276826209324,-14.0737693832982,-7.25059099248231,-7.3152916519836,6.24423755158147
"ACTB_HUMAN---COF1_HUMAN",-23.7314179799698,52.4196226209386,-19.7391806479297,-0.495517275366835,8.29725938609985
"CPSF7_HUMAN---CSK21_HUMAN",-60.9605861014739,5.78106930810325,12.326871484266,-11.1536118091758,-5.5114325812554
"ARHG5_HUMAN---CRKL_HUMAN",-54.3512921568432,-24.976771184532,-13.4456322733453,14.8221085409591,-11.2313203142198
