"","V1","V2","V3"
"1433B_HUMAN---IGF1R_HUMAN",37.7984415271676,-15.4999436261063,8.66496328620671
"1433B_HUMAN---LSR_HUMAN",37.7984415271676,-15.4999436261063,8.66496328620671
"1433T_HUMAN---CBL_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"41_HUMAN---CDK1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"4ET_HUMAN---MK08_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"ABI2_HUMAN---MIPT3_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"ABI2_HUMAN---VINC_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"ACINU_HUMAN---SRPK2_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"ACTB_HUMAN---CBL_HUMAN",40.2736826938182,2.60519707141034,5.59124721252548
"ACTB_HUMAN---MIPT3_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"AFAD_HUMAN---DREB_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"AFAD_HUMAN---EPHA7_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"AMOT_HUMAN---PARD3_HUMAN",40.2736826938182,2.60519707141034,5.59124721252548
"1433G_HUMAN---ANS1A_HUMAN",40.2736826938182,2.60519707141034,5.59124721252548
"APC1_HUMAN---CDK1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"APC_HUMAN---CTNB1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"ARHG5_HUMAN---CRKL_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"ARHGB_HUMAN---GSK3A_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"AT1A1_HUMAN---MK01_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"ATX2L_HUMAN---G3BP1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"ACK1_HUMAN---BCAR1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"BCAR1_HUMAN---CRKL_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"BCAR1_HUMAN---ZYX_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CBLB_HUMAN---EGFR_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CBL_HUMAN---CD2AP_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CBL_HUMAN---CRKL_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CBL_HUMAN---PLCG1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CBL_HUMAN---SHIP2_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CCD50_HUMAN---LCK_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CD2B2_HUMAN---SNUT2_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CDK1_HUMAN---NPM_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CDK1_HUMAN---NUCKS_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CDK1_HUMAN---NUP50_HUMAN",40.2736826938182,2.60519707141034,5.59124721252548
"CDK1_HUMAN---NUP98_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CDK5_HUMAN---P53_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CEBPZ_HUMAN---P53_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CEBPZ_HUMAN---PEBB_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CHIP_HUMAN---P53_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"1433G_HUMAN---CLAP1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CPSF5_HUMAN---RLA1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"ABL1_HUMAN---CRK_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CSN5_HUMAN---JUN_HUMAN",40.2736826938182,2.60519707141034,5.59124721252548
"CSN5_HUMAN---LRC47_HUMAN",40.2736826938182,2.60519707141034,5.59124721252548
"ABL1_HUMAN---CTNB1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"AP3D1_HUMAN---CTNB1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CTNB1_HUMAN---GSK3A_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CTNB1_HUMAN---HDAC1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"APC_HUMAN---CYTSA_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"DDX21_HUMAN---JUN_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"DDX21_HUMAN---SRPK2_HUMAN",40.2736826938182,2.60519707141034,5.59124721252548
"CDK1_HUMAN---DDX3X_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"DDX54_HUMAN---WDHD1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"DESP_HUMAN---PKP4_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CDK1_HUMAN---DNM1L_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"DNMT1_HUMAN---HDAC1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CH10_HUMAN---EF1A1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"EF1A1_HUMAN---PLCG1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"EF1A1_HUMAN---RLA1_HUMAN",40.2736826938182,2.60519707141034,5.59124721252548
"AKA12_HUMAN---EGFR_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"ANS1A_HUMAN---EGFR_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CBL_HUMAN---EGFR_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"EGFR_HUMAN---EPN1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"EGFR_HUMAN---HGS_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"EGFR_HUMAN---TELO2_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"EGFR_HUMAN---TM1L1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"EGFR_HUMAN---EGF_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"DDX3X_HUMAN---EIF3B_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"ELF2_HUMAN---SUMO2_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CBL_HUMAN---EPHA2_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"EPHA2_HUMAN---EPHA7_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"EFNB2_HUMAN---EPHA3_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"EPHA3_HUMAN---EPHA7_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"EPN1_HUMAN---EPS15_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"FA53C_HUMAN---WNK1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"FACD2_HUMAN---MRE11_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"EGFR_HUMAN---FAK1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"FAK1_HUMAN---PAXI_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"FAK1_HUMAN---FGR_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"AMOT_HUMAN---FOXK1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"FOXK1_HUMAN---UBP24_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"FUBP1_HUMAN---MK14_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CPSF5_HUMAN---FUND2_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CBL_HUMAN---FYN_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"CTND1_HUMAN---FYN_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"DOCK1_HUMAN---FYN_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"DDX54_HUMAN---G4XH65_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"G4XH65_HUMAN---HACD3_HUMAN",40.2736826938182,2.60519707141034,5.59124721252548
"GAREM_HUMAN---GRB2_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"GGA3_HUMAN---HGS_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
"ARHG7_HUMAN---GIT1_HUMAN",-38.5795720068932,-16.9407866477667,10.8338131451772
