"","V1","V2","V3","V4","V5"
"UB2D2_HUMAN-->NEDD4_HUMAN",31.9861955253717,-75.9015356646656,-21.3303953299906,-23.3408259473045,-25.0130468142797
"UB2L3_HUMAN-->UBE3A_HUMAN",31.9861955253717,-75.9015356646656,-21.3303953299906,-23.3408259473045,-25.0130468142797
"UBE3A_HUMAN-->P53_HUMAN",31.9861955253717,-75.9015356646656,-21.3303953299906,-23.3408259473045,-25.0130468142797
"NEDD8_HUMAN-->B2RBV7_HUMAN",31.9861955253717,-75.9015356646656,-21.3303953299906,-23.3408259473045,-25.0130468142797
"CCND1_HUMAN-->G4XH65_HUMAN",43.2832956997087,-68.905724810644,-12.23008175074,-25.2970337088191,-26.2584681296381
"SP1_HUMAN-->PO2F1_HUMAN",43.2832956997087,-68.905724810644,-12.23008175074,-25.2970337088191,-26.2584681296381
"HIF1A_HUMAN-->HDAC1_HUMAN",43.2832956997087,-68.905724810644,-12.23008175074,-25.2970337088191,-26.2584681296381
"K7PPA8_HUMAN-->UBC_HUMAN",43.2832956997087,-68.905724810644,-12.23008175074,-25.2970337088191,-26.2584681296381
"UBC_HUMAN-->HGS_HUMAN",43.2832956997087,-68.905724810644,-12.23008175074,-25.2970337088191,-26.2584681296381
"B2CL1_HUMAN-->BAX_HUMAN",54.0938142133807,-61.4187295649861,-2.33680597679991,-25.5277242203592,-22.4586575276074
"BAX_HUMAN-->BCL2_HUMAN",54.0938142133807,-61.4187295649861,-2.33680597679991,-25.5277242203592,-22.4586575276074
"CUL1_HUMAN-->FBX4_HUMAN",54.0938142133807,-61.4187295649861,-2.33680597679991,-25.5277242203592,-22.4586575276074
"CDN1B_HUMAN-->CCND3_HUMAN",54.0938142133807,-61.4187295649861,-2.33680597679991,-25.5277242203592,-22.4586575276074
"SMAD3_HUMAN-->JUN_HUMAN",54.0938142133807,-61.4187295649861,-2.33680597679991,-25.5277242203592,-22.4586575276074
"CDK4_HUMAN-->K7PML8_HUMAN",63.6379408750748,-53.9523619096991,7.14194447275822,-23.994891361142,-14.7807187428742
"K7PML8_HUMAN-->A4D1G0_HUMAN",63.6379408750748,-53.9523619096991,7.14194447275822,-23.994891361142,-14.7807187428742
"SUMO1_HUMAN-->MDM2_HUMAN",63.6379408750748,-53.9523619096991,7.14194447275822,-23.994891361142,-14.7807187428742
"WRN_HUMAN-->XRCC6_HUMAN",71.8777134165291,-46.7701023813292,15.8100338729312,-21.1432428260683,-4.78508667976856
"CSN5_HUMAN-->CDN1B_HUMAN",71.8777134165291,-46.7701023813292,15.8100338729312,-21.1432428260683,-4.78508667976856
"CUL1_HUMAN-->CSN5_HUMAN",71.8777134165291,-46.7701023813292,15.8100338729312,-21.1432428260683,-4.78508667976856
"DDB1_HUMAN-->CUL4B_HUMAN",78.3126843445774,-40.2342788874344,22.6328260143756,-16.9818499982243,6.04678889139962
"B7Z3D6_HUMAN-->CCNB1_HUMAN",78.3126843445774,-40.2342788874344,22.6328260143756,-16.9818499982243,6.04678889139962
"CCNB1_HUMAN-->CDC20_HUMAN",78.3126843445774,-40.2342788874344,22.6328260143756,-16.9818499982243,6.04678889139962
"CCNE1_HUMAN-->H11_HUMAN",78.3126843445774,-40.2342788874344,22.6328260143756,-16.9818499982243,6.04678889139962
"H11_HUMAN-->B7Z3D6_HUMAN",78.3126843445774,-40.2342788874344,22.6328260143756,-16.9818499982243,6.04678889139962
"SRC_HUMAN-->CDN1B_HUMAN",82.9350867823643,-35.7852879397498,28.1551120269775,-14.3564303486382,15.4404305857541
"K7PPA8_HUMAN-->BRCA1_HUMAN",82.9350867823643,-35.7852879397498,28.1551120269775,-14.3564303486382,15.4404305857541
"SMAD3_HUMAN-->EP300_HUMAN",82.9350867823643,-35.7852879397498,28.1551120269775,-14.3564303486382,15.4404305857541
"SMAD4_HUMAN-->SMAD3_HUMAN",82.9350867823643,-35.7852879397498,28.1551120269775,-14.3564303486382,15.4404305857541
"UBC9_HUMAN-->SMAD4_HUMAN",82.9350867823643,-35.7852879397498,28.1551120269775,-14.3564303486382,15.4404305857541
"B2RBV7_HUMAN-->DDB2_HUMAN",82.9350867823643,-35.7852879397498,28.1551120269775,-14.3564303486382,15.4404305857541
"DDB2_HUMAN-->DDB1_HUMAN",82.9350867823643,-35.7852879397498,28.1551120269775,-14.3564303486382,15.4404305857541
"EGF_HUMAN-->HDAC6_HUMAN",82.9350867823643,-35.7852879397498,28.1551120269775,-14.3564303486382,15.4404305857541
"HDAC6_HUMAN-->HS90A_HUMAN",82.9350867823643,-35.7852879397498,28.1551120269775,-14.3564303486382,15.4404305857541
