"","V1","V2","V3"
"EGF_HUMAN-->EGFR_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"EGF_HUMAN-->S10A4_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"S10A4_HUMAN-->MYH9_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"K7PPA8_HUMAN-->MDM2_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"MDM2_HUMAN-->P53_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"S10A4_HUMAN-->K7PPA8_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"K7PPA8_HUMAN-->SIR1_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"MDM2_HUMAN-->MDM4_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"MDM4_HUMAN-->P53_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"CD2A2_HUMAN-->CDK4_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"CDK4_HUMAN-->RB_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"MDM2_HUMAN-->CD2A2_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"EP300_HUMAN-->P53_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"K7PPA8_HUMAN-->EP300_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"K7PPA8_HUMAN-->UBP7_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"UBP7_HUMAN-->P53_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"K7PPA8_HUMAN-->MDM4_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"MDM4_HUMAN-->MDM2_HUMAN",-85.8210723422095,28.5374718592396,33.6012318293251
"MDM2_HUMAN-->RB_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"UBP7_HUMAN-->MDM2_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"MDM2_HUMAN-->UB2D2_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"UB2D2_HUMAN-->CHIP_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"MDM2_HUMAN-->UBP7_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"UB2D2_HUMAN-->CBL_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"CCND1_HUMAN-->RB_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"CDK4_HUMAN-->CCND1_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"MDM2_HUMAN-->SUMO1_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"SUMO1_HUMAN-->P53_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"EP300_HUMAN-->SP1_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"SP1_HUMAN-->HDAC1_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"EP300_HUMAN-->G4XH65_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"G4XH65_HUMAN-->SRC_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"SRC_HUMAN-->FAK1_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"SRC_HUMAN-->HNRPK_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"S10A4_HUMAN-->MDM2_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"S10A4_HUMAN-->P53_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"EP300_HUMAN-->JUN_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"EP300_HUMAN-->HIF1A_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"HIF1A_HUMAN-->HS90A_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"BRCA1_HUMAN-->BARD1_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"G4XH65_HUMAN-->BRCA1_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"SRC_HUMAN-->SHC1_HUMAN",-85.1196539732469,23.3220299394902,21.4759154540559
"G4XH65_HUMAN-->HS90A_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"SRC_HUMAN-->KHDR1_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"SUMO1_HUMAN-->PIAS1_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"A4D1G0_HUMAN-->RB_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"CD2A2_HUMAN-->A4D1G0_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"K7PPA8_HUMAN-->SP1_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"G4XH65_HUMAN-->SP1_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"SP1_HUMAN-->P53_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"B2CL1_HUMAN-->BAD_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"K7PPA8_HUMAN-->B2CL1_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"CDK4_HUMAN-->CDN1A_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"CDN1A_HUMAN-->CCND1_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"CDN1A_HUMAN-->PCNA_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"PCNA_HUMAN-->DNMT1_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"CCND1_HUMAN-->CDN1A_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"SP1_HUMAN-->HDAC2_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"G4XH65_HUMAN-->HDAC1_HUMAN",-84.8969414873399,15.5009747258474,8.65151032568787
"A4D1G0_HUMAN-->CCND1_HUMAN",-84.1049350004212,4.88176229025427,-5.33216606152208
"CCND1_HUMAN-->CDK4_HUMAN",-84.1049350004212,4.88176229025427,-5.33216606152208
"PCNA_HUMAN-->RFC1_HUMAN",-84.1049350004212,4.88176229025427,-5.33216606152208
"SUMO1_HUMAN-->UBC9_HUMAN",-84.1049350004212,4.88176229025427,-5.33216606152208
"UBC9_HUMAN-->RBP2_HUMAN",-84.1049350004212,4.88176229025427,-5.33216606152208
"UB2D2_HUMAN-->ZN363_HUMAN",-84.1049350004212,4.88176229025427,-5.33216606152208
"ZN363_HUMAN-->P53_HUMAN",-84.1049350004212,4.88176229025427,-5.33216606152208
"UBC9_HUMAN-->P53_HUMAN",-84.1049350004212,4.88176229025427,-5.33216606152208
"CDK4_HUMAN-->CDN1B_HUMAN",-84.1049350004212,4.88176229025427,-5.33216606152208
"CDN1B_HUMAN-->CCND1_HUMAN",-84.1049350004212,4.88176229025427,-5.33216606152208
"CD2A2_HUMAN-->NPM_HUMAN",-84.1049350004212,4.88176229025427,-5.33216606152208
"SRC_HUMAN-->EGFR_HUMAN",-84.1049350004212,4.88176229025427,-5.33216606152208
