"","V1","V2","V3","V4"
"EGF_HUMAN-->EGFR_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"EGF_HUMAN-->S10A4_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"S10A4_HUMAN-->MYH9_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"K7PPA8_HUMAN-->MDM2_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"MDM2_HUMAN-->P53_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"S10A4_HUMAN-->K7PPA8_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"K7PPA8_HUMAN-->SIR1_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"MDM2_HUMAN-->MDM4_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"MDM4_HUMAN-->P53_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"CD2A2_HUMAN-->CDK4_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"CDK4_HUMAN-->RB_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"MDM2_HUMAN-->CD2A2_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"EP300_HUMAN-->P53_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"K7PPA8_HUMAN-->EP300_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"K7PPA8_HUMAN-->UBP7_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"UBP7_HUMAN-->P53_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"K7PPA8_HUMAN-->MDM4_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"MDM4_HUMAN-->MDM2_HUMAN",-123.012269719422,-44.3430691449664,-30.2536558866899,26.9815259521891
"MDM2_HUMAN-->RB_HUMAN",-123.318329321951,-40.082434117537,-27.0579577823165,16.3614679362329
"UBP7_HUMAN-->MDM2_HUMAN",-123.318329321951,-40.082434117537,-27.0579577823165,16.3614679362329
"MDM2_HUMAN-->UB2D2_HUMAN",-123.318329321951,-40.082434117537,-27.0579577823165,16.3614679362329
"UB2D2_HUMAN-->CHIP_HUMAN",-123.318329321951,-40.082434117537,-27.0579577823165,16.3614679362329
"MDM2_HUMAN-->UBP7_HUMAN",-123.318329321951,-40.082434117537,-27.0579577823165,16.3614679362329
"UB2D2_HUMAN-->CBL_HUMAN",-123.318329321951,-40.082434117537,-27.0579577823165,16.3614679362329
"CCND1_HUMAN-->RB_HUMAN",-123.318329321951,-40.082434117537,-27.0579577823165,16.3614679362329
