"","V1","V2","V3"
"1433G_HUMAN---3BP5L_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"1433G_HUMAN---AFAD_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---ANS1A_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---ARHG7_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"1433G_HUMAN---BCLF1_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---CDK16_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"1433G_HUMAN---CLAP1_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---CRTC2_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"1433G_HUMAN---DYR1A_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"1433G_HUMAN---E41L2_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---EDC3_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"1433G_HUMAN---FA53C_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---GSK3A_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"1433G_HUMAN---HDAC4_HUMAN",-26.9807972360483,-25.1453495831683,3.39317219562617
"1433G_HUMAN---LSR_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---MARK2_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---MFAP1_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"1433G_HUMAN---PANK2_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---PPIG_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---PRP4B_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---SMAG2_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---SON_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"1433G_HUMAN---SRPK1_HUMAN",-26.9807972360483,-25.1453495831683,3.39317219562617
"1433G_HUMAN---SRRM2_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---TR150_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"1433G_HUMAN---TRA2A_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---UBP8_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"1433G_HUMAN---ZN638_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"1433G_HUMAN---ZO2_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"3BP5L_HUMAN---EYA4_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"4ET_HUMAN---ATX1_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"A8K015_HUMAN---STAT3_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"A8K015_HUMAN---TMX1_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"AAGAB_HUMAN---EIF3C_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"AAPK2_HUMAN-->ACACA_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"AAPK2_HUMAN---AMOT_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"AAPK2_HUMAN---C170B_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"ABI2_HUMAN---CCD53_HUMAN",18.7765305813513,-7.82847079002968,25.7621180044708
"ABLM1_HUMAN---T22D4_HUMAN",-28.7328493202258,20.9493515601716,10.8141266154509
"ACAP2_HUMAN---CBX1_HUMAN",-26.9807972360483,-25.1453495831683,3.39317219562617
"ACK1_HUMAN---CDC42_HUMAN",-26.9807972360483,-25.1453495831683,3.39317219562617
"ACLY_HUMAN---HGS_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
"ACTB_HUMAN---KHDR1_HUMAN",-35.2229922157114,-0.719677396931344,-5.0165646367215
